pert,model,pds,cosine,pearson_top500,h1_l1,tier
KIF20A,wavg_x64,0.9333333333333333,0.2573823502181357,0.44331794385920437,1201.254221269788,strong
KIF20A,gate_x64,0.9333333333333333,0.25346700365894825,0.4422193293479464,1201.254221269788,strong
KLF10,gene_direct_x64,0.6533333333333333,0.08093827875989179,-0.005224824792979406,427.0441094544949,mid
KLF10,wavg_x64,0.6533333333333333,0.08093827875989179,-0.005224824792979406,427.0441094544949,mid
KLF10,gate_x64,0.6533333333333333,0.08093827875989179,-0.005224824792979406,427.0441094544949,mid
LRPPRC,gene_direct_x64,0.6533333333333333,0.2429022118795363,0.34977232110339757,537.3005965742886,mid
LRPPRC,wavg_x64,0.6066666666666667,0.2446524787359212,0.35735688783459296,537.3005965742886,mid
LRPPRC,gate_x64,0.6533333333333333,0.2429022118795363,0.34977232110339757,537.3005965742886,mid
LZTR1,gene_direct_x64,0.9666666666666667,0.19615131087387225,0.2646590912039825,528.322723437781,mid
LZTR1,wavg_x64,0.9933333333333333,0.2010063699532882,0.27239201124269813,528.322723437781,mid
LZTR1,gate_x64,0.9666666666666667,0.19615131087387225,0.2646590912039825,528.322723437781,mid
MAP1B,gene_direct_x64,0.6333333333333333,0.03572625891842145,0.3540699852694894,208.19411603311528,weak
MAP1B,wavg_x64,0.6333333333333333,0.03572625891842145,0.3540699852694894,208.19411603311528,weak
MAP1B,gate_x64,0.6333333333333333,0.03572625891842145,0.3540699852694894,208.19411603311528,weak
MAP3K7,gene_direct_x64,0.88,0.046466056021540934,0.09374361246362141,147.09041808233087,weak
MAP3K7,wavg_x64,0.88,0.04646605602154094,0.09374361246362141,147.09041808233087,weak
MAP3K7,gate_x64,0.88,0.046466056021540934,0.09374361246362141,147.09041808233087,weak
MAPKAPK2,gene_direct_x64,0.9866666666666667,0.09978630843520053,0.15520945069676487,119.51769193329164,weak
MAPKAPK2,wavg_x64,0.9866666666666667,0.09978630843520053,0.15520945069676487,119.51769193329164,weak
MAPKAPK2,gate_x64,0.9866666666666667,0.09978630843520053,0.15520945069676487,119.51769193329164,weak
MAST2,gene_direct_x64,0.7533333333333333,0.024637686484803946,0.03680076724505047,196.26912748440736,weak
MAST2,wavg_x64,0.7533333333333333,0.024637686484803946,0.03680076724505047,196.26912748440736,weak
MAST2,gate_x64,0.7533333333333333,0.024637686484803946,0.03680076724505047,196.26912748440736,weak
MAU2,gene_direct_x64,0.8666666666666667,0.2466536176307258,0.06319569425477096,1009.8558957573259,strong
MAU2,wavg_x64,0.9,0.24042685570444866,0.07863343786168245,1009.8558957573259,strong
MAU2,gate_x64,0.8666666666666667,0.2466536176307258,0.06319569425477096,1009.8558957573259,strong
MBTPS1,gene_direct_x64,1.0,0.43552729162778026,0.5032206612461212,802.4982714554899,strong
MBTPS1,wavg_x64,1.0,0.4054604573568627,0.47709458301088853,802.4982714554899,strong
MBTPS1,gate_x64,1.0,0.43552729162778026,0.5032206612461212,802.4982714554899,strong
MED1,gene_direct_x64,0.8933333333333333,0.2647254387094243,0.03701841200373006,801.2845341905595,strong
MED1,wavg_x64,0.9,0.2692875712964743,0.02853057738764576,801.2845341905595,strong
MED1,gate_x64,0.8933333333333333,0.2647254387094243,0.03701841200373006,801.2845341905595,strong
MED12,gene_direct_x64,0.6599999999999999,0.11683327378869104,0.06894191159101645,368.30400123534855,mid
MED12,wavg_x64,0.6599999999999999,0.1220609436455169,0.0731980330734508,368.30400123534855,mid
MED12,gate_x64,0.6599999999999999,0.11683327378869104,0.06894191159101645,368.30400123534855,mid
MED13,gene_direct_x64,0.36,0.07840770660493303,0.09283573468406167,403.77241301639515,mid
MED13,wavg_x64,0.36,0.07840770660493303,0.09283573468406167,403.77241301639515,mid
MED13,gate_x64,0.36,0.07840770660493303,0.09283573468406167,403.77241301639515,mid
MED13L,gene_direct_x64,0.72,0.05463019764977956,0.06036568989897974,229.34845140561447,weak
MED13L,wavg_x64,0.72,0.05463019764977956,0.06036568989897974,229.34845140561447,weak
MED13L,gate_x64,0.72,0.05463019764977956,0.06036568989897974,229.34845140561447,weak
MED24,gene_direct_x64,0.24,0.11578798987080113,0.03271201928976883,1058.5990794623322,strong
MED24,wavg_x64,0.16666666666666663,0.09166500892018489,0.047133448909619236,1058.5990794623322,strong
MED24,gate_x64,0.24,0.11578798987080113,0.03271201928976883,1058.5990794623322,strong
METTL14,gene_direct_x64,1.0,0.4159956256498525,0.6245111439728663,2425.713349428781,strong
METTL14,wavg_x64,1.0,0.4133308567001229,0.6197139832130427,2425.713349428781,strong
