pert,lam,pds,des
MAPKAPK2,2.0,0.2733333333333333,0.13333333333333333
MAST2,0.0,0.7533333333333333,0.0
MAST2,0.25,0.33999999999999997,0.0
MAST2,0.5,0.31333333333333335,0.03333333333333333
MAST2,1.0,0.33999999999999997,0.03333333333333333
MAST2,2.0,0.3533333333333334,0.03333333333333333
MAU2,0.0,0.8666666666666667,0.5658791129149152
MAU2,0.25,0.9,0.5713871575590665
MAU2,0.5,0.9,0.581098709957965
MAU2,1.0,0.9,0.5947238730250761
MAU2,2.0,0.88,0.6160313088853457
MBTPS1,0.0,1.0,0.460298266827892
MBTPS1,0.25,0.9266666666666666,0.48589278516727125
MBTPS1,0.5,0.9066666666666666,0.5159209995969367
MBTPS1,1.0,0.8866666666666667,0.5578395808141878
MBTPS1,2.0,0.88,0.5933091495364772
MED1,0.0,0.8933333333333333,0.4435920577617328
MED1,0.25,0.8733333333333333,0.4499097472924188
MED1,0.5,0.8666666666666667,0.45374548736462095
MED1,1.0,0.8666666666666667,0.47382671480144406
MED1,2.0,0.86,0.5119584837545126
MED12,0.0,0.6599999999999999,0.24692405600339415
MED12,0.25,0.6666666666666667,0.25074246924056004
MED12,0.5,0.6333333333333333,0.25286380992787444
MED12,1.0,0.62,0.25795502757742894
MED12,2.0,0.6133333333333333,0.2761985574883326
MED13,0.0,0.36,0.20721412125863392
MED13,0.25,0.7133333333333334,0.21488871834228704
MED13,0.5,0.6666666666666667,0.22601688411358403
MED13,1.0,0.6466666666666667,0.27321565617805066
MED13,2.0,0.6133333333333333,0.3211818879508826
MED13L,0.0,0.72,0.042505592841163314
MED13L,0.25,0.5333333333333333,0.0447427293064877
MED13L,0.5,0.4866666666666667,0.042505592841163314
MED13L,1.0,0.4666666666666667,0.04697986577181208
MED13L,2.0,0.44666666666666666,0.08501118568232663
MED24,0.0,0.24,0.5480769230769231
MED24,0.25,0.9666666666666667,0.5516025641025641
MED24,0.5,0.94,0.559775641025641
MED24,1.0,0.9266666666666666,0.5793269230769231
MED24,2.0,0.9266666666666666,0.6088141025641025
METTL14,0.0,1.0,0.739218833600856
METTL14,0.25,1.0,0.7478865703584805
METTL14,0.5,1.0,0.755056179775281
METTL14,1.0,1.0,0.7605136436597111
METTL14,2.0,0.9933333333333333,0.7685393258426966
METTL17,0.0,0.9933333333333333,0.5597763525735898
METTL17,0.25,0.9333333333333333,0.5786877158362111
METTL17,0.5,0.8866666666666667,0.6015457983884229
METTL17,1.0,0.8933333333333333,0.6331195527051472
METTL17,2.0,0.8933333333333333,0.6809735240914323
METTL3,0.0,0.9933333333333333,0.7449315359303683
METTL3,0.25,0.9933333333333333,0.7539539327035346
METTL3,0.5,0.9933333333333333,0.7577751831015815
METTL3,1.0,0.9933333333333333,0.7628701836323108
METTL3,2.0,0.9866666666666667,0.7746523723596221
MKI67,0.0,0.7266666666666667,0.02564102564102564
MKI67,0.25,0.07999999999999996,0.02564102564102564
MKI67,0.5,0.046666666666666634,0.02564102564102564
MKI67,1.0,0.046666666666666634,0.02564102564102564
MKI67,2.0,0.046666666666666634,0.05128205128205128
MTA1,0.0,0.6799999999999999,0.1741424802110818
MTA1,0.25,0.6466666666666667,0.1741424802110818
MTA1,0.5,0.5666666666666667,0.1820580474934037
MTA1,1.0,0.54,0.20514511873350924
MTA1,2.0,0.5333333333333333,0.24472295514511874
NCK2,0.0,1.0,0.0
NCK2,0.25,0.42000000000000004,0.125
NCK2,0.5,0.32666666666666666,0.125
NCK2,1.0,0.31333333333333335,0.125
NCK2,2.0,0.30000000000000004,0.0
NDUFB4,0.0,0.5266666666666666,0.1375985977212971
NDUFB4,0.25,0.3866666666666667,0.14285714285714285
NDUFB4,0.5,0.32666666666666666,0.14022787028921999
NDUFB4,1.0,0.2666666666666667,0.1437335670464505
NDUFB4,2.0,0.23333333333333328,0.1375985977212971
NDUFB6,0.0,0.6266666666666667,0.1316831683168317
NDUFB6,0.25,0.3533333333333334,0.12871287128712872
NDUFB6,0.5,0.2866666666666666,0.1306930693069307
NDUFB6,1.0,0.17333333333333334,0.1306930693069307
NDUFB6,2.0,0.14,0.12574257425742574
NISCH,0.0,1.0,0.049019607843137254
NISCH,0.25,0.22666666666666668,0.06862745098039216
NISCH,0.5,0.07333333333333336,0.06862745098039216
