pert,model,des,k_true,h1_l1,tier
LRPPRC,gene_top50,0.24556780067081935,4174,537.3005965742886,mid
LRPPRC,gene_top100,0.24844274077623382,4174,537.3005965742886,mid
LRPPRC,gene_top200,0.25443219932918065,4174,537.3005965742886,mid
LRPPRC,gene_top500,0.2654528030666028,4174,537.3005965742886,mid
LZTR1,gene_direct,0.37011137011137013,3861,528.322723437781,mid
LZTR1,h1_mean,0.4967624967624968,3861,528.322723437781,mid
LZTR1,gene_top50,0.23232323232323232,3861,528.322723437781,mid
LZTR1,gene_top100,0.23517223517223518,3861,528.322723437781,mid
LZTR1,gene_top200,0.2413882413882414,3861,528.322723437781,mid
LZTR1,gene_top500,0.252007252007252,3861,528.322723437781,mid
MAP1B,gene_direct,0.07142857142857142,14,208.19411603311528,weak
MAP1B,h1_mean,0.0,14,208.19411603311528,weak
MAP1B,gene_top50,0.07142857142857142,14,208.19411603311528,weak
MAP1B,gene_top100,0.07142857142857142,14,208.19411603311528,weak
MAP1B,gene_top200,0.07142857142857142,14,208.19411603311528,weak
MAP1B,gene_top500,0.07142857142857142,14,208.19411603311528,weak
MAP3K7,gene_direct,0.05714285714285714,35,147.09041808233087,weak
MAP3K7,h1_mean,0.08571428571428572,35,147.09041808233087,weak
MAP3K7,gene_top50,0.05714285714285714,35,147.09041808233087,weak
MAP3K7,gene_top100,0.05714285714285714,35,147.09041808233087,weak
MAP3K7,gene_top200,0.05714285714285714,35,147.09041808233087,weak
MAP3K7,gene_top500,0.05714285714285714,35,147.09041808233087,weak
MAPKAPK2,gene_direct,0.13333333333333333,15,119.51769193329164,weak
MAPKAPK2,h1_mean,0.0,15,119.51769193329164,weak
MAPKAPK2,gene_top50,0.13333333333333333,15,119.51769193329164,weak
MAPKAPK2,gene_top100,0.13333333333333333,15,119.51769193329164,weak
MAPKAPK2,gene_top200,0.13333333333333333,15,119.51769193329164,weak
MAPKAPK2,gene_top500,0.13333333333333333,15,119.51769193329164,weak
MAST2,gene_direct,0.0,30,196.26912748440736,weak
MAST2,h1_mean,0.03333333333333333,30,196.26912748440736,weak
MAST2,gene_top50,0.0,30,196.26912748440736,weak
MAST2,gene_top100,0.0,30,196.26912748440736,weak
