ref,pert,pearson_full,pearson_top500,sign_agree_top200,sign_cos_top200,h1_l1,ref_l1
k562_gwps,TADA1,0.08732654164468663,0.15772602190648985,0.15167095,0.15167094767093658,777.2776,270.40552
k562_gwps,TAF13,0.20700537253513593,0.35414382812443035,0.3548387,0.35483869910240173,1418.7681,519.46844
k562_gwps,TARBP2,0.023995413534844502,0.07045349113606268,-0.096692115,-0.09669211506843567,195.9061,341.34375
k562_gwps,TAZ,0.12546484470073438,0.18918717511701694,0.224,0.2240000069141388,246.87904,367.1261
k562_gwps,TCF3,0.0783976848729069,0.1409648344873634,0.03324808,0.03324808180332184,200.8162,394.47388
k562_gwps,TET1,0.09317906868887361,0.1468209010634351,0.0867347,0.08673469722270966,232.87286,272.04327
k562_gwps,TFAM,0.22663230002047202,0.3527376437859737,0.12760417,0.1276041716337204,564.0038,338.137
k562_gwps,TMBIM6,0.16253575635686904,0.44105393571350043,-0.08354431,-0.0835443064570427,311.30374,289.04236
k562_gwps,TMSB10,0.34833032185105667,0.45668529725579227,0.34254143,0.3425414264202118,588.4889,200.8581
k562_gwps,TMSB4X,0.3401119445206895,0.5593458070723478,-0.22137405,-0.221374049782753,120.07755,247.79875
k562_gwps,TRAM2,0.0760096073135989,0.1465788135389848,0.23425692,0.23425692319869995,174.28471,208.4112
k562_gwps,TRAPPC6A,0.09185572822172532,0.1521278029092373,0.090439275,0.09043927490711212,486.0088,283.404
k562_gwps,TSC22D4,0.151213937103794,0.1121658501040595,0.2647815,0.26478150486946106,258.07254,202.21045
k562_gwps,TWF2,0.10274704111482968,0.17951430304856614,0.07052897,0.07052896916866302,163.26953,196.03229
k562_gwps,TXNDC9,0.09030681832267702,0.15055376843585846,0.082051285,0.08205128461122513,446.99573,631.3999
k562_gwps,UBE3C,0.1931940384042087,0.15629235783091786,0.35064936,0.350649356842041,467.761,332.26965
